topic,lvl,n_states,n_treated,est,se,t
Document review,0,20,7,-0.012527472527472517,0.04072753318885259,-0.30759222438989686
Structured web copy,0,21,4,-0.00455882352941176,0.0413329467748066,-0.11029514915182552
Promotional writing,1,45,11,0.28534759358288714,0.15950583557851247,1.7889476742211883
Spoken writing,1,29,8,0.0049404761904761505,0.040835244065250506,0.1209855923128996
Education pathways,1,23,5,-0.010000000000000012,0.021520540471917298,-0.4646723446861972
Data analysis,1,37,9,-0.09126984126984115,0.07051700109404728,-1.2942955578629354
Feature implementation,0,33,10,-0.043565217391304374,0.07084615938369819,-0.6149270160907099
Document analysis,0,31,8,-0.023586956521739144,0.04680366834575041,-0.5039552957152075
Sales and revenue ops — other,1,23,5,-0.007111111111111159,0.02825164011634892,-0.2517061339386111
Post copywriting,0,39,10,0.20482758620689653,0.10566748491320092,1.93841640477342
Agent architecture,0,24,5,-0.02010526315789469,0.037309738739077704,-0.5388744021634414
Marketing copy,0,38,10,0.1065,0.08305353726966602,1.2823054080671579
Proofreading,0,26,6,0.011500000000000024,0.03253803624561707,0.35343251550864857
Workplace writing,1,42,10,0.26125000000000026,0.12864575954816163,2.0307703955231813
Instructional design,0,31,8,-0.010271739130434799,0.023105645908153966,-0.4445553771258093
Cosmetics and Personal Care,1,24,5,-0.027578947368421057,0.027087179362751953,-1.018155009758799
Presentation authoring,0,34,8,-0.040096153846153886,0.10638480575795387,-0.3768973732713339
Conversation & Meeting Intelligence,2,23,4,0.011710526315789466,0.024250451172525417,0.48289931731484337
Self-reflection,1,33,9,-0.027083333333333407,0.04977057476074355,-0.5441635637829791
Account management,0,23,5,0.01555555555555557,0.02417357991511299,0.6434940794942189
Finding the best price,1,31,8,0.0046739130434782115,0.05321461658672464,0.08783137685228018
Hobbies & Lifestyle,2,46,11,0.11202597402597358,0.3554829158515908,0.31513743426348756
Compliance & Regulatory,2,38,10,0.10307142857142866,0.115568714423681,0.8918627250067296
Niche publishing,1,20,4,-0.040625,0.03480452463864192,-1.1672332957220126
Skincare,0,20,4,0.002500000000000002,0.02511199133520368,0.0995540324392886
Math and CS theory,1,35,9,-0.07726495726495725,0.06318802091934635,-1.2227785605689219
Mobile development,0,23,6,-0.010196078431372524,0.03202911715080826,-0.31833779193365075
AI app building,1,36,10,0.08284615384615397,0.05999279325819228,1.380935098147659
Data analysis prototyping,0,21,4,-0.09691176470588239,0.037454183186015,-2.587475055178035
Trivia,0,33,10,-0.11200000000000006,0.05207941391319774,-2.150561835942964
Tone rewriting,0,29,8,-0.10601190476190475,0.03224120905547613,-3.288087136543
Interactive fiction,0,21,5,0.03037500000000001,0.03837168925403121,0.7915992386707058
Document Processing & Extraction,2,43,11,0.21943181818181803,0.21450809414989727,1.0229535582395324
AI agent design,1,28,8,-0.01950000000000001,0.035621989004390675,-0.5474146880904514
Workplace conflict,0,22,5,0.005529411764705895,0.03814288523486163,0.14496574474266966
Medical education,0,21,6,-0.018333333333333354,0.041477525407865326,-0.44200643970570214
Education & Learning,2,46,11,-0.9684935064935061,0.5099798717119667,-1.8990818269794478
Grant writing,1,24,6,-0.006666666666666651,0.030842641962861076,-0.21615095991757985
Hobbies and lifestyle — other,1,28,8,0.0077499999999999895,0.08140429645912797,0.09520382015574771
Structural feedback,0,22,5,4.705882352941069e-4,0.04613163911353273,0.01020098666201652
Company and deal research,1,25,5,0.074,0.034917678009693746,2.119270358683539
API debugging,0,27,7,-0.033714285714285724,0.036926030283056514,-0.9130222083405348
Regulatory rules,1,20,5,0.008666666666666665,0.04952643764617699,0.17499071361809637
Politics and public record,1,30,8,0.10374999999999998,0.039715032354420976,2.6123609587957644
Gardening,0,28,8,-0.07875000000000004,0.06650451568948496,-1.184130117835761
Wellness and fitness,1,41,10,0.06503225806451624,0.09551658869238676,0.6808477873299478
Research & Intelligence,2,46,11,-0.010597402597402935,0.21713330162663824,-0.0488059754906929
Data Analysis & Business Intelligence,2,45,11,-0.06312834224598922,0.12779191958386046,-0.493993223136168
Exam preparation,0,26,7,-0.08458646616541358,0.04250241691299238,-1.9901566148243377
Self-presentation writing,1,45,11,-0.07962566844919779,0.10392818467832296,-0.7661604856820508
Formatted writing,1,40,10,-0.11599999999999991,0.07379289096783478,-1.5719671431569548
Quant trading,1,33,8,0.025349999999999973,0.04270491714959443,0.5936084575740881
Reference documentation,1,40,10,-0.07233333333333332,0.07665219732157727,-0.9436563576889373
Algorithm implementation,0,28,7,-0.05047619047619048,0.06440039423279875,-0.7837869795288186
Personal messages,1,25,5,-0.025000000000000022,0.036201131770835046,-0.6905861440536767
Outfit evaluation,0,20,4,-0.025624999999999995,0.016575738154009433,-1.5459341696829154
Knowledge base authoring,0,36,10,-0.022846153846153874,0.059921452630115946,-0.38126835788142455
Physical crafting,1,25,6,0.06184210526315786,0.039200284797631775,1.577593264498271
Buying and selling secondhand,1,20,5,0.036,0.028847829205703848,1.2479275214539196
Dashboards and charts,1,30,9,-0.012063492063492056,0.04169894576588369,-0.289299689522652
Emotional Wellbeing and Support,1,43,11,0.1521306818181817,0.13762134570097087,1.1054294015460167
Personal AI Assistant,2,43,11,0.03326704545454531,0.1448646518721428,0.22964225588935752
Debugging,1,24,5,0.04694736842105267,0.029870766301475494,1.5716827599007281
Portfolio management,0,21,4,0.0027941176470588193,0.023900293412466227,0.11690725292943169
Competitive intelligence,0,27,6,-0.02333333333333334,0.04091556524778392,-0.5702801169194925
Business compliance,1,27,6,0.07547619047619039,0.02382030741270304,3.168564921036241
Literary analysis,0,21,5,0.03462499999999998,0.01596438148228044,2.1688907921945972
AI image generation,1,30,8,0.07215909090909087,0.05435306384051382,1.327599325786392
Knowledge Retrieval & Enterprise Search,2,45,11,0.14497326203208544,0.1217637313963355,1.1906111973540294
Investment research,0,34,9,-0.10484444444444448,0.05433921075498101,-1.9294436372510968
Backend patching,0,20,5,0.027333333333333334,0.016138017024660275,1.6937231688109917
General Health and Medical,0,23,5,-0.047111111111111124,0.09439432253449097,-0.4990883969096455
Regulatory compliance,0,20,5,0.05599999999999994,0.023655821983249198,2.367281933371574
Cooking,1,40,10,-0.010000000000000014,0.06086573164463964,-0.16429606167201474
Game reference,0,36,10,-9.999999999999202e-4,0.09503266222145457,-0.01052269795062271
Quality scoring,1,28,7,-0.029523809523809525,0.03765600388141374,-0.7840399001653464
Career interview prep,1,24,5,-5.263157894736665e-4,0.042159602336274124,-0.012483888848752836
Market research reports,0,25,5,0.03499999999999999,0.0351354868749995,0.9961438737000706
Document transformation,1,36,10,-0.008846153846153847,0.05866713658441148,-0.15078550550061054
Publishing and announcements,1,30,8,0.00613636363636365,0.04870791538197362,0.12598288364922852
Personal records,1,26,7,0.009323308270676681,0.049715188707056816,0.18753440373350702
Meal planning,0,24,5,0.029473684210526332,0.015213282632826824,1.9373651907924716
Dev environment setup,1,28,6,-0.04499999999999998,0.055362873409485015,-0.8128190830552227
Self-understanding,0,20,4,0.00874999999999999,0.030538349561148818,0.28652498009033944
Language and linguistics,1,21,5,0.022,0.02383299466318459,0.9230900401276024
Entertainment and Recreation,1,27,7,-0.02557142857142857,0.025298749068245096,-1.0107783789011822
UI design,0,23,5,0.03333333333333336,0.029963214468454395,1.1124752108431846
Personal finance,0,25,6,-0.013508771929824553,0.030696190931805194,-0.44007974669677113
Product comparison,0,39,10,-0.043655172413793075,0.06987421178824253,-0.6247680123547206
Entitlements and rules,1,34,10,-0.04633333333333333,0.05504289539302045,-0.841767734100857
Cybersecurity & Threat Detection,2,20,4,-0.06999999999999998,0.07851366691604163,-0.8915645230893914
Cross-domain insight synthesis,0,20,4,0.052499999999999984,0.033002428625232776,1.5907920170414334
Instructional design,1,37,9,-0.08257936507936499,0.0689589808084925,-1.197514291991901
Home tech setup,1,28,6,0.00424242424242426,0.07225580818288999,0.058713954616438115
Rules and eligibility,0,24,6,-0.011111111111111103,0.025464804988757427,-0.4363320715009048
Business Process & Operations,2,46,11,-0.09846753246753229,0.29636246030132096,-0.33225372865179104
Research and evidence,1,41,10,0.03803225806451619,0.06751897965045507,0.5632824764445304
Answer explanation,0,24,5,-0.05231578947368422,0.07524611587840938,-0.6952623250111886
Essays,0,24,5,-0.0665263157894737,0.0268850325820354,-2.47447406234228
Weight management,0,23,5,-0.04055555555555563,0.025302318831290638,-1.6028394798899521
Entrepreneurship,0,36,10,0.05430769230769237,0.052783226738220945,1.028881628950652
DevOps & Infrastructure Operations,2,46,11,-0.016883116883117024,0.1838796138911875,-0.09181614277865391
Proactive activity scanning,0,25,7,-0.01801587301587297,0.07316351384030732,-0.24624122148091315
Software development — other,1,37,10,0.10566666666666656,0.07164248598867343,1.4749162484865797
Code refactoring,0,23,6,0.013921568627450994,0.01676804862395533,0.830243813079253
Content strategy,0,28,8,-0.005999999999999995,0.03232971434716666,-0.1855877826686034
Relocation and travel,1,23,5,0.05311111111111118,0.03309069390200975,1.6050165423664777
Animal behavior,1,23,5,0.0217777777777778,0.024526228318911582,0.887938312185795
Literary analysis,1,21,5,0.034625,0.015964381482280448,2.1688907921945977
Summarizing,1,27,6,0.04619047619047622,0.03619307227753481,1.2762242408237567
Booking and scheduling,1,27,6,-0.01166666666666665,0.04621544780998319,-0.25244084433920566
Customer Support & Service Operations,2,31,9,-0.028333333333333297,0.042858655987899785,-0.6610877704922106
Game prototyping,0,23,5,0.013111111111111094,0.03474261735992922,0.37737833552612354
Starting a business,1,45,11,0.093368983957219,0.11932653079175089,0.7824662574006019
Home furnishing and decor,1,26,6,0.052666666666666674,0.034637991541801146,1.5204884672111694
App prototyping,0,30,8,0.03431818181818181,0.048565042998802065,0.7066437029414001
CRM,1,28,7,-0.03238095238095237,0.05363565551060773,-0.6037206420372409
Photo and video editing,1,27,7,0.09664285714285714,0.04241062095094979,2.2787418570133626
Course deliverables,0,33,7,-0.08076923076923084,0.08096677559367145,-0.9975601742444089
Gaming,1,43,11,0.03798295454545452,0.11292569788632664,0.3363535072742163
Software Development,2,46,11,0.030987012987012074,0.19725618286857552,0.1570901988286855
API debugging,1,31,10,-0.04414285714285712,0.03319628870453334,-1.3297527785637344
Literature review,0,28,7,-0.018571428571428586,0.047964273871465124,-0.3871929474257524
AI evaluation and risk,1,23,5,-0.004999999999999981,0.01700970960401087,-0.2939497567213603
Short-form video scripts,0,27,7,-0.025714285714285717,0.02630963377322391,-0.9773714805736256
Sales & Revenue Operations,2,40,10,-0.008333333333333331,0.10208795880326925,-0.08162895439404619
News aggregation,0,26,6,-0.03599999999999996,0.03077285268844982,-1.1698622927315439
Reference and fact-finding,1,41,10,-0.059999999999999984,0.05965202125825642,-1.0058334778001408
Structured extraction,1,40,10,0.019666666666666686,0.10629726917365324,0.18501572824545573
Fanfiction,0,29,9,-0.05333333333333328,0.07065532739008634,-0.754838103557022
Life updates,0,28,7,0.014761904761904827,0.06680863896513217,0.22095802265346481
Product specifications,0,22,5,0.038470588235294124,0.034276583303653595,1.1223577301881627
Media discovery,1,40,11,-0.08749216300940431,0.10799165273222687,-0.8101752385098454
Programming education,0,26,6,-0.08933333333333333,0.031376317744323416,-2.847157976321025
Buying and investing,1,42,10,-0.09037500000000007,0.10937732604233974,-0.8262681423114704
"Existential, Relational, and Emotional Support",2,46,11,0.13057142857142823,0.20463180568862452,0.6380798338363424
Study materials,0,38,10,-0.21257142857142858,0.09146909726168298,-2.323969897322647
Social science,1,22,5,0.03411764705882356,0.025339573910605276,1.3464175514231684
Interior design,0,22,4,0.07944444444444448,0.015963198952051224,4.976724570248879
Job applications,0,28,7,-0.047142857142857146,0.02879120820500626,-1.6374046134909988
Emotional Wellbeing and Support,0,22,5,0.0158823529411764,0.09501226542975168,0.16716108040723632
Shell and systems code,1,31,7,-0.016190476190476165,0.05880099534906529,-0.2753435735970672
Novel writing,0,27,7,0.052428571428571484,0.07043264418898722,0.744378860573421
Career navigation,1,28,8,-0.027250000000000014,0.044223024592264785,-0.6161948498829366
Software identification,0,20,4,-0.010625000000000016,0.03653596713898914,-0.2908093265898964
Financial education,0,27,7,-0.06864285714285717,0.045375962097920185,-1.5127581646583628
Web development,0,29,8,-0.024761904761904766,0.03942646367411337,-0.6280528978347845
Real-time lookups,1,25,6,-0.004649122807017549,0.024688994589393994,-0.18830749831403581
Retail availability,0,26,5,-0.026666666666666696,0.06942482093901156,-0.3841085408069381
Fiction writing,1,40,11,0.04962382445141076,0.08485825452996743,0.5847848830532598
Web front-end,1,42,11,-0.013489736070381288,0.10093124132340013,-0.13365273124064705
Vehicle selection,0,23,6,0.025196078431372563,0.030530637596475473,0.8252719371403254
Content Creation & Copywriting,2,46,11,0.2808051948051951,0.30866125445350223,0.909752004029053
Slide decks,1,40,10,-0.035333333333333335,0.0991037579520651,-0.3565286933965057
Accounting and bookkeeping,1,30,9,-0.011904761904761913,0.03770250651989949,-0.31575518456521046
Calendar apps,0,20,4,0.05250000000000001,0.04265509104806406,1.2308026711475692
Vehicles and motors,1,29,8,0.048273809523809504,0.04959546837414358,0.9733512174869767
Account and billing,1,28,6,0.05272727272727269,0.026240675369046076,2.0093717858142717
Medical Questions,1,43,11,0.02201704545454553,0.08670815526634411,0.2539212763426357
Resume writing,0,34,9,0.010577777777777776,0.06486403878876779,0.163076150904274
Destination research,1,32,10,-0.028000000000000053,0.07559233185620723,-0.37040794102319846
Certification and training,1,29,8,-0.035535714285714226,0.04710537594913558,-0.7543876589390925
Software how-to,1,38,10,0.047642857142857105,0.07015188404529708,0.6791386687789326
Business reports,0,24,5,-0.041368421052631596,0.05775873263914341,-0.7162279912041558
SEO copywriting,0,23,5,0.004555555555555567,0.027786239138827794,0.1639500593367365
Automated pipelines,1,35,9,-0.03905982905982907,0.10429869815543454,-0.37449967977183074
Financial modeling,1,38,10,0.01757142857142852,0.060659060465428044,0.28967525109366243
Video scripts,1,31,9,-0.028282828282828285,0.04378777192705705,-0.6459069972763777
Job searching,0,21,5,0.006500000000000025,0.021059632879497976,0.30864735568718865
Backend architecture,1,29,8,0.019940476190476158,0.039801671104750774,0.5009959541145005
Platform navigation,0,31,9,0.03257575757575753,0.06687274148602178,0.48713058343161764
Job correspondence,0,25,6,0.07236842105263157,0.06478439422233195,1.1170656439924742
Quiz assistance,0,38,10,-0.38685714285714284,0.22833793233792074,-1.6942307346666656
File conversion,0,24,6,-0.03055555555555557,0.021497920672212997,-1.4213260910879608
Companionship and conversation,1,42,11,0.018504398826979497,0.08769640010921344,0.21100522716935805
