topic,lvl,metric_id,value
Elections,0,artifact_image_or_graphic_pct,0.14
Elections,0,artifact_academic_paper_or_thesis_pct,0.07
Government filings,1,collaboration_task_iteration_pct,30.12
Politics and public record,1,collaboration_validation_pct,2.85
Geopolitics and strategy,1,collaboration_validation_pct,5.35
Government filings,1,human_only_ability_pct,85.06
Politics and public record,1,human_only_time_mean,3.51
Politics and public record,1,human_with_ai_time_mean,22.47
Government filings,1,human_with_ai_time_mean,43.89
Geopolitics and strategy,1,multitasking_pct,17.31
Politics and public record,1,multitasking_pct,14.02
News aggregation,0,artifact_idea_or_brainstorm_pct,0.18
News aggregation,0,artifact_analysis_or_summary_pct,18.2
News aggregation,0,artifact_blog_or_article_pct,0.18
News aggregation,0,artifact_email_or_message_pct,2.27
News aggregation,0,artifact_data_or_spreadsheet_pct,1.95
News aggregation,0,artifact_image_or_graphic_pct,0.12
News aggregation,0,artifact_explanation_or_answer_pct,28.13
News aggregation,0,artifact_presentation_or_slides_pct,0.05
News aggregation,0,artifact_translation_pct,0.19
News aggregation,0,ai_autonomy_mean,2.92
News aggregation,0,collaboration_validation_pct,0.62
News aggregation,0,artifact_script_or_snippet_pct,0.16
News aggregation,0,artifact_plan_or_strategy_pct,0.57
News aggregation,0,ai_education_years_mean,12.03
News aggregation,0,artifact_ui_or_design_mockup_pct,0.05
News aggregation,0,artifact_config_or_infra_pct,0.08
News aggregation,0,pct,0.38
News aggregation,0,artifact_ml_or_ai_system_pct,0.12
News aggregation,0,artifact_advice_or_recommendation_pct,4.1
News aggregation,0,collaboration_learning_pct,15.08
News aggregation,0,artifact_document_or_report_pct,24.51
News aggregation,0,collaboration_bucket_augmentation_pct,25.85
News aggregation,0,multitasking_pct,10.29
News aggregation,0,human_only_ability_pct,97.99
News aggregation,0,human_education_years_mean,10.5
News aggregation,0,collaboration_bucket_automation_pct,74.15
News aggregation,0,collaboration_task_iteration_pct,9.58
News aggregation,0,use_case_personal_pct,67.49
News aggregation,0,human_with_ai_time_mean,9.98
News aggregation,0,collaboration_none_pct,2.2
Geopolitics,0,artifact_ui_or_design_mockup_pct,0.06
Geopolitics,0,artifact_email_or_message_pct,0.35
Geopolitics,0,artifact_explanation_or_answer_pct,51.16
Geopolitics,0,artifact_document_or_report_pct,7.03
Geopolitics,0,human_education_years_mean,12.41
Geopolitics,0,artifact_app_or_website_pct,0.32
Geopolitics,0,artifact_image_or_graphic_pct,0.13
Geopolitics,0,artifact_chart_or_visualization_pct,2.16
Geopolitics,0,artifact_advice_or_recommendation_pct,1.37
Geopolitics,0,ai_autonomy_mean,2.72
Geopolitics,0,collaboration_bucket_augmentation_pct,75.69
Geopolitics,0,use_case_personal_pct,79.01
Geopolitics,0,pct,0.08
Geopolitics,0,artifact_none_pct,8.9
News aggregation,0,use_case_coursework_pct,0.72
News aggregation,0,artifact_marketing_or_social_content_pct,0.07
News aggregation,0,collaboration_directive_pct,65.28
News aggregation,0,artifact_none_pct,17.03
News aggregation,0,artifact_math_or_calculation_pct,0.11
News aggregation,0,collaboration_feedback_loop_pct,7.23
News aggregation,0,use_case_work_pct,31.79
News aggregation,0,artifact_chart_or_visualization_pct,1.11
News aggregation,0,human_only_time_mean,2.23
News aggregation,0,artifact_app_or_website_pct,0.73
Geopolitics,0,collaboration_task_iteration_pct,12.33
Geopolitics,0,artifact_creative_writing_pct,0.29
Geopolitics,0,artifact_analysis_or_summary_pct,23.66
Geopolitics,0,collaboration_none_pct,2.11
Geopolitics,0,collaboration_feedback_loop_pct,2.46
Geopolitics,0,human_with_ai_time_mean,35.11
Geopolitics,0,artifact_data_or_spreadsheet_pct,0.57
Geopolitics,0,artifact_presentation_or_slides_pct,0.16
Geopolitics,0,use_case_work_pct,16.19
Geopolitics,0,artifact_idea_or_brainstorm_pct,0.57
Geopolitics,0,artifact_blog_or_article_pct,0.1
Geopolitics,0,human_only_ability_pct,93.51
Geopolitics,0,human_only_time_mean,5.7
Geopolitics,0,artifact_script_or_snippet_pct,0.16
Geopolitics,0,collaboration_bucket_automation_pct,24.31
Geopolitics,0,ai_education_years_mean,13.76
Geopolitics,0,artifact_translation_pct,0.35
Geopolitics,0,collaboration_directive_pct,21.34
Geopolitics,0,collaboration_validation_pct,6
Geopolitics,0,multitasking_pct,14.6
Geopolitics,0,collaboration_learning_pct,55.76
Geopolitics,0,artifact_plan_or_strategy_pct,2.48
Geopolitics,0,use_case_coursework_pct,4.8
Geopolitics,0,artifact_ml_or_ai_system_pct,0.1
Geopolitics and strategy,1,pct,0.15
Politics and public record,1,pct,0.3
Politics,0,artifact_resume_or_job_application_pct,0
Public records lookup,0,artifact_resume_or_job_application_pct,0
Public records lookup,0,artifact_ml_or_ai_system_pct,0
Public records lookup,0,artifact_recipe_or_meal_plan_pct,0
Public records lookup,0,artifact_educational_material_pct,0
Public records lookup,0,artifact_presentation_or_slides_pct,0
Public records lookup,0,artifact_audio_or_music_pct,0
Public records lookup,0,artifact_creative_writing_pct,0
Politics,0,artifact_academic_paper_or_thesis_pct,0
Public records lookup,0,artifact_ui_or_design_mockup_pct,0
Public records lookup,0,artifact_marketing_or_social_content_pct,0
Public records lookup,0,artifact_blog_or_article_pct,0
Politics,0,artifact_game_or_interactive_pct,0
Politics,0,artifact_video_or_animation_pct,0
Politics,0,artifact_ui_or_design_mockup_pct,0
Politics,0,artifact_sql_or_database_query_pct,0
Politics,0,artifact_code_fix_or_debug_pct,0
Public records lookup,0,artifact_other_pct,0
Public records lookup,0,artifact_image_or_graphic_pct,0
Public records lookup,0,artifact_academic_paper_or_thesis_pct,0
Public records lookup,0,artifact_game_or_interactive_pct,0
News writing,0,artifact_sql_or_database_query_pct,0
Public records lookup,0,artifact_code_fix_or_debug_pct,0
News writing,0,artifact_audio_or_music_pct,0
Politics,0,artifact_audio_or_music_pct,0
Politics,0,artifact_creative_writing_pct,0
Public records lookup,0,artifact_video_or_animation_pct,0
Public records lookup,0,artifact_sql_or_database_query_pct,0
Elections,0,artifact_educational_material_pct,0
Elections,0,artifact_blog_or_article_pct,0
News aggregation,0,artifact_academic_paper_or_thesis_pct,0
News aggregation,0,artifact_audio_or_music_pct,0
Elections,0,artifact_sql_or_database_query_pct,0
News writing,0,artifact_recipe_or_meal_plan_pct,0
Geopolitics,0,artifact_game_or_interactive_pct,0
Geopolitics,0,artifact_other_pct,0
Geopolitics,0,artifact_resume_or_job_application_pct,0
Elections,0,artifact_config_or_infra_pct,0
Elections,0,artifact_idea_or_brainstorm_pct,0
News aggregation,0,artifact_game_or_interactive_pct,0
News aggregation,0,artifact_video_or_animation_pct,0
News aggregation,0,artifact_sql_or_database_query_pct,0.01
Politics,0,artifact_educational_material_pct,0.02
News writing,0,artifact_math_or_calculation_pct,0.02
News aggregation,0,artifact_other_pct,0.02
Public records lookup,0,pct,0.03
News writing,0,artifact_academic_paper_or_thesis_pct,0.03
News writing,0,artifact_game_or_interactive_pct,0.03
News aggregation,0,artifact_recipe_or_meal_plan_pct,0.01
Geopolitics,0,artifact_config_or_infra_pct,0.03
Elections,0,artifact_audio_or_music_pct,0
Elections,0,artifact_video_or_animation_pct,0
Elections,0,artifact_recipe_or_meal_plan_pct,0
Elections,0,artifact_resume_or_job_application_pct,0
Elections,0,artifact_other_pct,0
Geopolitics,0,artifact_recipe_or_meal_plan_pct,0
Geopolitics,0,artifact_marketing_or_social_content_pct,0
Geopolitics,0,artifact_video_or_animation_pct,0
Geopolitics,0,artifact_audio_or_music_pct,0
News aggregation,0,artifact_educational_material_pct,0.01
Geopolitics,0,artifact_educational_material_pct,0.03
Elections,0,artifact_game_or_interactive_pct,0
News writing,0,artifact_code_fix_or_debug_pct,0.03
Geopolitics,0,artifact_academic_paper_or_thesis_pct,0.03
Geopolitics,0,artifact_sql_or_database_query_pct,0
Geopolitics,0,artifact_math_or_calculation_pct,0
Politics and public record,1,use_case_personal_pct,78.39
Politics,0,artifact_config_or_infra_pct,0.02
Politics,0,artifact_ml_or_ai_system_pct,0.02
News writing,0,artifact_other_pct,0.03
Politics and public record,1,use_case_coursework_pct,2.68
Geopolitics,0,artifact_code_fix_or_debug_pct,0
Elections,0,pct,0.04
Geopolitics and strategy,1,use_case_coursework_pct,3.17
Geopolitics and strategy,1,use_case_personal_pct,76.42
Geopolitics and strategy,1,use_case_work_pct,20.41
Government filings,1,use_case_work_pct,78.13
News aggregation,0,artifact_resume_or_job_application_pct,0.01
Politics,0,artifact_other_pct,0.02
Politics,0,artifact_math_or_calculation_pct,0.02
News aggregation,0,artifact_creative_writing_pct,0.02
News aggregation,0,artifact_code_fix_or_debug_pct,0.02
Government filings,1,use_case_coursework_pct,0.37
Government filings,1,use_case_personal_pct,21.51
Politics and public record,1,use_case_work_pct,18.93
Government filings,1,pct,0.06
All conversations,NA,use_case_work_pct,43.36
All conversations,NA,usage_pct,100
All conversations,NA,artifact_ml_or_ai_system_pct,0.46
All conversations,NA,artifact_code_fix_or_debug_pct,3.29
All conversations,NA,artifact_data_or_spreadsheet_pct,3.11
All conversations,NA,artifact_none_pct,6.52
All conversations,NA,artifact_ui_or_design_mockup_pct,0.79
All conversations,NA,artifact_analysis_or_summary_pct,5.55
All conversations,NA,artifact_config_or_infra_pct,1.52
All conversations,NA,artifact_video_or_animation_pct,0.26
All conversations,NA,collaboration_bucket_automation_pct,48.62
All conversations,NA,artifact_academic_paper_or_thesis_pct,1.16
All conversations,NA,use_case_coursework_pct,16.45
All conversations,NA,artifact_email_or_message_pct,4.61
All conversations,NA,ai_autonomy_mean,2.74
All conversations,NA,artifact_script_or_snippet_pct,2.97
All conversations,NA,collaboration_bucket_augmentation_pct,51.38
All conversations,NA,artifact_game_or_interactive_pct,0.35
All conversations,NA,human_only_time_mean,4.73
All conversations,NA,artifact_other_pct,0.18
All conversations,NA,artifact_blog_or_article_pct,0.55
All conversations,NA,artifact_resume_or_job_application_pct,1.75
All conversations,NA,artifact_educational_material_pct,2.83
All conversations,NA,artifact_document_or_report_pct,14.91
All conversations,NA,artifact_plan_or_strategy_pct,4.09
All conversations,NA,artifact_marketing_or_social_content_pct,2.6
All conversations,NA,human_only_ability_pct,87.62
All conversations,NA,collaboration_feedback_loop_pct,15.97
All conversations,NA,artifact_sql_or_database_query_pct,0.41
All conversations,NA,collaboration_directive_pct,31.38
All conversations,NA,artifact_chart_or_visualization_pct,2.22
All conversations,NA,human_with_ai_time_mean,40.12
All conversations,NA,multitasking_pct,22.92
All conversations,NA,artifact_advice_or_recommendation_pct,10.72
All conversations,NA,artifact_explanation_or_answer_pct,16.68
All conversations,NA,artifact_idea_or_brainstorm_pct,0.71
All conversations,NA,artifact_presentation_or_slides_pct,2.32
All conversations,NA,artifact_recipe_or_meal_plan_pct,0.62
All conversations,NA,usage_per_capita_index,1
All conversations,NA,collaboration_task_iteration_pct,30.41
All conversations,NA,ai_education_years_mean,12.63
All conversations,NA,artifact_creative_writing_pct,1.47
All conversations,NA,collaboration_none_pct,2.61
All conversations,NA,collaboration_learning_pct,16.55
All conversations,NA,artifact_app_or_website_pct,4.21
All conversations,NA,artifact_math_or_calculation_pct,1.5
All conversations,NA,human_education_years_mean,11.79
All conversations,NA,collaboration_validation_pct,3.08
All conversations,NA,artifact_translation_pct,0.77
All conversations,NA,use_case_personal_pct,40.2
All conversations,NA,artifact_image_or_graphic_pct,0.87
All conversations,NA,artifact_audio_or_music_pct,0.03
