state_po,topic,lvl,month,pct
VA,Industry and sector knowledge,1,may,0.36
SC,Industry and sector knowledge,1,may,0.27
IL,Industry and sector knowledge,1,may,0.33
MA,Art techniques,0,may,0.08
CA,Art techniques,0,may,0.06
NY,Art techniques,0,may,0.05
NV,Career planning,1,may,0.31
PA,Career planning,1,may,0.29
NC,Career planning,1,may,0.24
PA,Lore worldbuilding,0,may,0.55
KS,Lore worldbuilding,0,may,0.87
NM,Lore worldbuilding,0,may,0.77
AZ,Lore worldbuilding,0,may,0.51
OK,Lore worldbuilding,0,may,1
MN,Lore worldbuilding,0,may,0.61
WI,Lore worldbuilding,0,may,0.73
MS,Lore worldbuilding,0,may,1.47
NC,Gift buying,1,may,0.23
CA,Gift buying,1,may,0.18
NV,Gift buying,1,may,0.17
MD,Gift buying,1,may,0.19
MN,Gift buying,1,may,0.3
MA,Gift buying,1,may,0.24
FL,OCR transcription,0,may,0.11
MD,OCR transcription,0,may,0.1
NJ,OCR transcription,0,may,0.14
NC,OCR transcription,0,may,0.15
GA,Legal concepts,0,may,0.09
SC,Math tutoring,0,may,0.23
NV,Math tutoring,0,may,0.34
TN,Math tutoring,0,may,0.39
MI,Math tutoring,0,may,0.4
GA,Photo compositing,0,may,0.09
CO,Photo compositing,0,may,0.09
NY,Photo compositing,0,may,0.07
TX,Desktop automation,0,may,0.03
MA,Music production,0,may,0.09
MD,Music production,0,may,0.12
CA,Music production,0,may,0.08
MA,Business operations,1,may,5.08
OH,Business operations,1,may,5.94
OR,Business operations,1,may,6
VA,Business operations,1,may,5.42
RI,Business operations,1,may,5.86
CA,Business operations,1,may,5.85
NJ,Business operations,1,may,5.96
NY,Wealth management,0,may,0.04
CA,Wealth management,0,may,0.05
CO,Industry and sector knowledge,1,may,0.37
WI,Industry and sector knowledge,1,may,0.29
NJ,Industry and sector knowledge,1,may,0.29
NJ,Career planning,1,may,0.26
NY,Career planning,1,may,0.37
FL,Career planning,1,may,0.18
IL,Career planning,1,may,0.32
IL,Lore worldbuilding,0,may,0.41
CO,Lore worldbuilding,0,may,0.42
MI,Lore worldbuilding,0,may,0.6
IA,Lore worldbuilding,0,may,0.61
KY,Lore worldbuilding,0,may,0.87
MO,Lore worldbuilding,0,may,0.73
UT,Lore worldbuilding,0,may,0.71
HI,Lore worldbuilding,0,may,0.44
RI,Lore worldbuilding,0,may,0.73
NY,Gift buying,1,may,0.15
CT,Gift buying,1,may,0.24
MA,OCR transcription,0,may,0.16
PA,OCR transcription,0,may,0.12
MI,OCR transcription,0,may,0.14
MN,OCR transcription,0,may,0.13
IL,OCR transcription,0,may,0.16
PA,Legal concepts,0,may,0.08
IL,Legal concepts,0,may,0.06
MI,Legal concepts,0,may,0.12
VA,Math tutoring,0,may,0.66
KY,Math tutoring,0,may,0.38
AZ,Math tutoring,0,may,0.48
PA,Math tutoring,0,may,0.62
MO,Math tutoring,0,may,0.36
LA,Math tutoring,0,may,0.6
ME,Math tutoring,0,may,0.79
NM,Math tutoring,0,may,0.65
MA,Math tutoring,0,may,0.92
WA,Math tutoring,0,may,0.77
IL,Photo compositing,0,may,0.07
MO,Rubric evaluation,0,may,0.14
IL,Rubric evaluation,0,may,0.15
NY,Personal ai assistant — other,1,may,0.07
TN,Data record lookup,0,may,0.12
TX,Data record lookup,0,may,0.12
TX,Statistics and records,0,may,0.04
IL,Statistics and records,0,may,0.05
NY,Statistics and records,0,may,0.05
CA,Conversation scripting,0,may,0.03
FL,Conversation scripting,0,may,0.04
WA,Model deployment,0,may,0.07
CT,Customer support and service,1,may,0.5
AZ,Customer support and service,1,may,0.73
NE,Customer support and service,1,may,0.57
IL,Customer support and service,1,may,0.47
TN,Customer support and service,1,may,0.57
LA,Customer support and service,1,may,0.36
SC,Customer support and service,1,may,0.58
PA,Customer support and service,1,may,0.53
TX,Customer support and service,1,may,0.59
NY,Video retrieval,0,may,0.03
WA,Book recommendations,0,may,0.1
MA,Status lookup,0,may,0.1
NY,Camera technique,0,may,0.05
MD,Itinerary planning,0,may,0.7
KS,Itinerary planning,0,may,0.54
CT,Itinerary planning,0,may,0.69
NJ,Itinerary planning,0,may,0.84
UT,Itinerary planning,0,may,0.69
AL,Itinerary planning,0,may,0.39
KY,Server infrastructure,1,may,1.11
RI,Server infrastructure,1,may,0.61
NY,Server infrastructure,1,may,0.62
NM,Server infrastructure,1,may,1.01
TX,Server infrastructure,1,may,0.91
PR,Server infrastructure,1,may,0.66
WA,Server infrastructure,1,may,1.06
UT,Server infrastructure,1,may,0.83
PA,Server infrastructure,1,may,0.83
GA,Self-hosting,0,may,0.18
OR,Self-hosting,0,may,0.16
TN,Self-hosting,0,may,0.2
NY,Test execution,0,may,0.03
TX,Test execution,0,may,0.03
CA,Test execution,0,may,0.03
CA,Relocation,0,may,0.16
CO,Relocation,0,may,0.21
IL,Relocation,0,may,0.22
OR,Relocation,0,may,0.21
GA,Fashion shopping,1,may,0.56
NY,Fashion shopping,1,may,0.81
MO,Fashion shopping,1,may,0.67
CT,Fashion shopping,1,may,0.79
DE,Fashion shopping,1,may,0.66
NC,Fashion shopping,1,may,0.48
MI,Fashion shopping,1,may,0.47
IN,Fashion shopping,1,may,0.44
DC,Fashion shopping,1,may,0.55
OH,Science,1,may,0.46
SC,Science,1,may,0.3
CA,Science,1,may,0.67
IA,Science,1,may,0.93
GA,Science,1,may,0.42
KY,Science,1,may,0.47
VA,Trivia identification,0,may,0.17
NY,Trivia identification,0,may,0.16
PA,Trivia identification,0,may,0.16
MO,Trivia identification,0,may,0.16
TX,Nutrition,0,may,0.5
MD,Nutrition,0,may,0.46
GA,Nutrition,0,may,0.47
MA,Nutrition,0,may,0.47
KY,Education and learning — other,1,may,0.43
PA,Education and learning — other,1,may,0.51
UT,Education and learning — other,1,may,0.42
NJ,Education and learning — other,1,may,0.69
DC,Education and learning — other,1,may,0.56
MI,Education and learning — other,1,may,0.54
AZ,Education and learning — other,1,may,0.47
MN,Education and learning — other,1,may,0.49
NY,Media system setup,0,may,0.07
WA,Social science research,0,may,0.17
NC,Social science research,0,may,0.11
MI,Document summarization,0,may,0.35
WA,Document summarization,0,may,0.27
TX,Document summarization,0,may,0.32
MA,Document summarization,0,may,0.39
IA,Casual conversation,0,may,0.8
ID,Casual conversation,0,may,0.74
DC,Casual conversation,0,may,0.61
LA,Casual conversation,0,may,1.32
WA,Casual conversation,0,may,1.09
NV,Casual conversation,0,may,1.41
MD,On-the-ground navigation,0,may,0.22
IN,On-the-ground navigation,0,may,0.15
NC,On-the-ground navigation,0,may,0.2
WA,Workflow state routing,0,may,0.25
GA,Workflow state routing,0,may,0.14
OR,Workflow state routing,0,may,0.34
MO,Go-to-market,0,may,0.16
NV,Go-to-market,0,may,0.22
MI,Go-to-market,0,may,0.23
OR,Go-to-market,0,may,0.2
FL,Go-to-market,0,may,0.33
CT,Go-to-market,0,may,0.21
TN,Go-to-market,0,may,0.32
GA,Go-to-market,0,may,0.28
WA,Threat detection,1,may,0.05
VA,Environment setup,0,may,0.17
NC,Environment setup,0,may,0.13
NV,Environment setup,0,may,0.19
MI,Environment setup,0,may,0.11
OH,Environment setup,0,may,0.18
WA,Environment setup,0,may,0.13
TX,PDF editing,0,may,0.18
GA,PDF editing,0,may,0.2
OH,PDF editing,0,may,0.18
MI,PDF editing,0,may,0.15
NY,PDF editing,0,may,0.18
IL,Account setup,1,may,0.1
VA,Account setup,1,may,0.07
GA,Chemistry,0,may,0.06
NJ,Chemistry,0,may,0.1
PA,Slide editing,0,may,0.12
GA,Slide editing,0,may,0.13
TX,Slide editing,0,may,0.1
CO,Slide editing,0,may,0.11
IL,Slide editing,0,may,0.14
GA,Payroll benefits,0,may,0.07
CA,Account provisioning,0,may,0.02
NY,Unit conversion,0,may,0.02
NY,Dietary restrictions,0,may,0.02
MA,Restaurant recommendations,0,may,0.13
FL,Restaurant recommendations,0,may,0.08
CO,Restaurant recommendations,0,may,0.11
NJ,Restaurant recommendations,0,may,0.13
IL,Literature screening,0,may,0.05
TN,Home renovation,1,may,1
MS,Home renovation,1,may,0.76
NC,Home renovation,1,may,0.86
MD,Home renovation,1,may,0.76
CO,Home renovation,1,may,0.98
RI,Home renovation,1,may,1.26
TX,Legal profession,0,may,0.11
VA,Legal profession,0,may,0.1
NY,Version control,0,may,0.06
MO,Job interviews,0,may,0.31
CA,Job interviews,0,may,0.59
VA,Appliance cooking,0,may,0.11
MD,Rubric evaluation,0,may,0.17
MA,Data record lookup,0,may,0.1
NC,Data record lookup,0,may,0.09
MA,Statistics and records,0,may,0.06
GA,Statistics and records,0,may,0.06
FL,Statistics and records,0,may,0.04
TX,Conversation scripting,0,may,0.05
KS,Customer support and service,1,may,0.9
AR,Customer support and service,1,may,0.65
MI,Customer support and service,1,may,0.56
OH,Customer support and service,1,may,0.5
UT,Customer support and service,1,may,0.65
NJ,Customer support and service,1,may,0.56
CO,Status lookup,0,may,0.09
PA,Status lookup,0,may,0.08
NY,Status lookup,0,may,0.07
IL,Status lookup,0,may,0.1
FL,Camera technique,0,may,0.05
NY,Commerce,0,may,0.05
AZ,Commerce,0,may,0.1
TX,Commerce,0,may,0.04
CA,Wine,0,may,0.05
FL,Wine,0,may,0.04
LA,Itinerary planning,0,may,0.6
NV,Itinerary planning,0,may,0.65
DC,Itinerary planning,0,may,0.85
IA,Itinerary planning,0,may,0.58
FL,Itinerary planning,0,may,0.72
VT,Server infrastructure,1,may,1.26
LA,Server infrastructure,1,may,0.89
IA,Server infrastructure,1,may,1.12
CO,Server infrastructure,1,may,0.99
NJ,Server infrastructure,1,may,0.75
NV,Server infrastructure,1,may,0.72
OR,Server infrastructure,1,may,0.76
KS,Server infrastructure,1,may,0.93
CA,Self-hosting,0,may,0.12
MA,Self-hosting,0,may,0.12
NJ,Self-hosting,0,may,0.12
WI,Self-hosting,0,may,0.24
FL,Test execution,0,may,0.03
SC,Fashion shopping,1,may,0.43
NV,Fashion shopping,1,may,0.52
AZ,Fashion shopping,1,may,0.52
CA,Fashion shopping,1,may,0.54
CA,Enterprise IT administration,0,may,0.03
TX,Geography,0,may,0.06
NY,Geography,0,may,0.06
OH,Naming,0,may,0.19
IN,Naming,0,may,0.18
CA,Naming,0,may,0.2
PA,Naming,0,may,0.16
TX,Announcements,0,may,0.12
NJ,Announcements,0,may,0.16
MO,Announcements,0,may,0.16
TN,Announcements,0,may,0.12
IL,Exercise science,0,may,0.1
MA,Exercise science,0,may,0.07
CO,Exercise science,0,may,0.09
LA,Business correspondence,0,may,2.53
AZ,Business correspondence,0,may,2.1
SD,Business correspondence,0,may,2.37
MI,Business correspondence,0,may,1.95
TN,Business correspondence,0,may,2.13
MO,Business correspondence,0,may,1.99
PA,Business correspondence,0,may,1.99
NY,Numerology,0,may,0.07
LA,Structured drafting,0,may,0.64
MI,Structured drafting,0,may,0.4
KY,Structured drafting,0,may,0.43
MO,Structured drafting,0,may,0.5
IL,Structured drafting,0,may,0.41
AL,Structured drafting,0,may,0.34
NY,Business ideation,1,may,0.31
SC,Business ideation,1,may,0.53
MD,Business ideation,1,may,0.36
IN,Business ideation,1,may,0.36
OH,Business ideation,1,may,0.34
CO,Business ideation,1,may,0.41
NV,Business ideation,1,may,0.39
OR,Business ideation,1,may,0.47
NV,Thesis writing,0,may,0.93
NJ,Thesis writing,0,may,0.51
TX,Thesis writing,0,may,0.44
PA,Thesis writing,0,may,0.73
NY,Thesis writing,0,may,0.77
IA,Thesis writing,0,may,0.96
TN,Thesis writing,0,may,0.35
MO,Financial modeling,0,may,0.34
OK,Financial modeling,0,may,0.4
HI,Financial modeling,0,may,0.52
DC,Financial modeling,0,may,0.4
WA,Financial modeling,0,may,0.32
CA,Financial modeling,0,may,0.39
NC,Betting and Probability,0,may,0.09
MA,Grant writing,0,may,0.33
CT,Personal development,0,may,0.29
AZ,Personal development,0,may,0.21
MN,Personal development,0,may,0.19
UT,Personal development,0,may,0.21
TN,Personal development,0,may,0.23
OH,Personal development,0,may,0.18
OR,Personal development,0,may,0.18
MD,Personal development,0,may,0.14
IL,Personal development,0,may,0.18
MI,Personal development,0,may,0.21
WA,Circuit analysis,0,may,0.06
OH,Trend tracking,1,may,0.73
IA,Trend tracking,1,may,0.84
KS,Trend tracking,1,may,1.22
SC,Trend tracking,1,may,0.87
VT,Trend tracking,1,may,1.56
ME,Trend tracking,1,may,0.98
TX,Trend tracking,1,may,0.78
HI,Trend tracking,1,may,0.9
CA,Trend tracking,1,may,0.82
MI,Trend tracking,1,may,0.76
MA,Trend tracking,1,may,1
NH,Trend tracking,1,may,0.67
WA,Data Visualization,0,may,0.33
NY,Data Visualization,0,may,0.34
NJ,Data Visualization,0,may,0.32
FL,Infrastructure health checks,0,may,0.18
NY,Infrastructure health checks,0,may,0.09
MO,Infrastructure health checks,0,may,0.15
MI,Infrastructure health checks,0,may,0.17
GA,Infrastructure health checks,0,may,0.12
PA,Infrastructure health checks,0,may,0.14
WA,Infrastructure health checks,0,may,0.16
LA,Medical Research,0,may,0.45
WI,Medical Research,0,may,0.5
TN,Medical Research,0,may,0.31
NC,Medical Research,0,may,0.31
CO,Medical Research,0,may,0.47
MA,Web search,0,may,0.09
IL,Web search,0,may,0.06
CO,Web search,0,may,0.11
NY,Science,1,may,0.51
AL,Science,1,may,0.41
PR,Nutrition,0,may,0.57
NE,Nutrition,0,may,0.5
NJ,Nutrition,0,may,0.67
LA,Nutrition,0,may,0.32
KS,Nutrition,0,may,0.51
IL,Nutrition,0,may,0.51
WI,Nutrition,0,may,0.69
ID,Nutrition,0,may,0.68
OH,Education and learning — other,1,may,0.47
MD,Education and learning — other,1,may,0.53
KS,Education and learning — other,1,may,0.54
TX,Education and learning — other,1,may,0.59
MA,Education and learning — other,1,may,0.55
GA,Education and learning — other,1,may,0.56
TN,Education and learning — other,1,may,0.48
OK,Education and learning — other,1,may,0.4
CA,Media system setup,0,may,0.08
OH,Media system setup,0,may,0.16
TX,Social science research,0,may,0.08
MA,Social science research,0,may,0.11
IN,Document summarization,0,may,0.33
AZ,Document summarization,0,may,0.29
MD,Document summarization,0,may,0.35
OH,Document summarization,0,may,0.27
CA,Document summarization,0,may,0.37
HI,Casual conversation,0,may,1.2
SC,Casual conversation,0,may,0.98
KS,Casual conversation,0,may,1.4
UT,Casual conversation,0,may,0.91
TN,Casual conversation,0,may,1.08
FL,Casual conversation,0,may,0.84
MD,Casual conversation,0,may,1.15
KY,Casual conversation,0,may,1.11
RI,Casual conversation,0,may,1.38
NE,Casual conversation,0,may,1.24
NH,Casual conversation,0,may,1.2
NY,On-the-ground navigation,0,may,0.26
NJ,On-the-ground navigation,0,may,0.18
PA,On-the-ground navigation,0,may,0.21
VA,On-the-ground navigation,0,may,0.14
GA,On-the-ground navigation,0,may,0.31
CO,On-the-ground navigation,0,may,0.19
AZ,Workflow state routing,0,may,0.22
TX,Workflow state routing,0,may,0.24
NC,Workflow state routing,0,may,0.17
OH,Workflow state routing,0,may,0.19
WA,Go-to-market,0,may,0.14
PA,Go-to-market,0,may,0.25
IL,Go-to-market,0,may,0.23
AZ,Go-to-market,0,may,0.25
SC,Go-to-market,0,may,0.44
NY,Localization,0,may,0.03
CO,Threat detection,1,may,0.09
PA,Environment setup,0,may,0.15
CO,Environment setup,0,may,0.18
MA,Environment setup,0,may,0.15
NJ,Environment setup,0,may,0.13
TX,Research and intelligence — other,1,may,0.04
WA,PDF editing,0,may,0.16
NC,PDF editing,0,may,0.16
FL,Account setup,1,may,0.08
NC,Account setup,1,may,0.07
WA,Chemistry,0,may,0.08
NJ,Slide editing,0,may,0.13
WA,Slide editing,0,may,0.09
NY,Slide editing,0,may,0.13
NC,Slide editing,0,may,0.13
IL,Payroll benefits,0,may,0.07
FL,Payroll benefits,0,may,0.06
NY,Payroll benefits,0,may,0.07
TX,Unit conversion,0,may,0.02
CA,Unit conversion,0,may,0.02
GA,Restaurant recommendations,0,may,0.12
CA,Restaurant recommendations,0,may,0.13
MD,Restaurant recommendations,0,may,0.15
FL,Literature screening,0,may,0.03
NY,Literature screening,0,may,0.03
DE,Home renovation,1,may,1.09
NY,Home renovation,1,may,0.69
IN,Home renovation,1,may,0.99
IL,Home renovation,1,may,0.78
OR,Home renovation,1,may,0.83
GA,Legal profession,0,may,0.12
TX,Version control,0,may,0.05
FL,Job interviews,0,may,0.22
MN,Job interviews,0,may,0.31
OH,Job interviews,0,may,0.32
CA,Cost estimation,0,may,0.01
CA,Appliance cooking,0,may,0.08
MA,Appliance cooking,0,may,0.08
MN,Appliance cooking,0,may,0.17
VA,Geography,0,may,0.11
MA,Geography,0,may,0.08
OR,Naming,0,may,0.28
FL,Naming,0,may,0.33
GA,Naming,0,may,0.22
MO,Naming,0,may,0.28
MI,Naming,0,may,0.17
SC,Naming,0,may,0.26
CO,Announcements,0,may,0.11
WA,Announcements,0,may,0.16
VA,Announcements,0,may,0.16
CA,Translation studies,0,may,0.02
FL,Coverage questions,0,may,0.05
TX,Coverage questions,0,may,0.05
TX,Hygiene,0,may,0.03
GA,Business correspondence,0,may,2.2
NY,Business correspondence,0,may,2.59
UT,Business correspondence,0,may,2.01
VA,Business correspondence,0,may,2.17
HI,Business correspondence,0,may,2.91
TX,Business correspondence,0,may,2.04
PR,Business correspondence,0,may,2.08
IL,Numerology,0,may,0.05
NJ,Numerology,0,may,0.1
NV,Structured drafting,0,may,0.32
MN,Structured drafting,0,may,0.41
MD,Structured drafting,0,may,0.55
PA,Structured drafting,0,may,0.46
AZ,Business ideation,1,may,0.45
WA,Business ideation,1,may,0.36
MO,Business ideation,1,may,0.41
GA,Business ideation,1,may,0.47
PA,Business ideation,1,may,0.37
NM,Thesis writing,0,may,1.01
OK,Thesis writing,0,may,0.56
MA,Thesis writing,0,may,1
GA,Thesis writing,0,may,0.5
NE,Thesis writing,0,may,0.64
CO,Thesis writing,0,may,0.39
VT,Thesis writing,0,may,1.34
MI,Financial modeling,0,may,0.35
MD,Financial modeling,0,may,0.33
UT,Financial modeling,0,may,0.42
NV,Financial modeling,0,may,0.18
MN,Financial modeling,0,may,0.34
MA,Betting and Probability,0,may,0.08
VA,Betting and Probability,0,may,0.14
MD,Grant writing,0,may,0.43
GA,Hardening and configuration,1,may,0.06
NY,Hardening and configuration,1,may,0.02
TX,Hardening and configuration,1,may,0.04
WI,Personal development,0,may,0.26
MA,Personal development,0,may,0.2
NC,Personal development,0,may,0.22
DC,Trend tracking,1,may,1.22
OK,Trend tracking,1,may,0.67
TN,Trend tracking,1,may,0.88
NJ,Trend tracking,1,may,0.88
FL,Trend tracking,1,may,0.86
RI,Trend tracking,1,may,0.88
NY,Trend tracking,1,may,0.96
VA,Trend tracking,1,may,0.97
TX,Data Visualization,0,may,0.37
IN,Data Visualization,0,may,0.37
MI,Data Visualization,0,may,0.32
LA,Data Visualization,0,may,0.38
FL,Data Visualization,0,may,0.39
MD,Data Visualization,0,may,0.38
MA,Infrastructure health checks,0,may,0.08
AZ,Infrastructure health checks,0,may,0.16
AL,Medical Research,0,may,0.39
SC,Medical Research,0,may,0.43
NJ,Medical Research,0,may,0.36
VA,Medical Research,0,may,0.36
WA,Medical Research,0,may,0.43
PA,Medical Research,0,may,0.43
AZ,Medical Research,0,may,0.46
OH,Web search,0,may,0.09
AZ,Health and Wellness Industry,0,may,0.1
NY,Browser APIs,0,may,0.03
NC,Media recommendations,0,may,0.13
IL,Media recommendations,0,may,0.12
MO,Media recommendations,0,may,0.14
OR,Profile optimization,0,may,0.3
FL,Profile optimization,0,may,0.3
AZ,Profile optimization,0,may,0.3
GA,Profile optimization,0,may,0.31
VA,Companionship & General Conversation,2,may,1.38
MS,Companionship & General Conversation,2,may,1.52
