topic,lvl,month,pct
Traffic violations,0,may,0.01
Electrical safety,0,may,0.01
Module design,0,may,0.04
AI model comparisons,0,may,0.12
Events nightlife,0,may,0.07
Wellness and fitness,1,may,2.17
Utility costs,0,may,0.01
Peripherals,0,may,0.04
Lexicology,0,may,0.11
Reselling,0,may,0.08
Revision tracking,0,may,0.16
UI components,0,may,0.19
Portrait retouching,0,may,0.07
Task control signals,0,may,0
Dataset creation,0,may,0.01
Diplomatic negotiations,0,may,0.01
Legal research,0,may,0.22
Content expansion and enrichment,0,may,0.06
Physical crafting,1,may,0.36
Dashboards and charts,1,may,0.52
Emotional Wellbeing and Support,1,may,3.15
Business operations,1,may,6.09
Wealth management,0,may,0.04
Personal ai assistant — other,1,may,0.07
Conversation scripting,0,may,0.03
Video retrieval,0,may,0.02
Book recommendations,0,may,0.05
Wine,0,may,0.05
Nutrition,0,may,0.53
Education and learning — other,1,may,0.54
PDF editing,0,may,0.17
Account setup,1,may,0.07
Payroll benefits,0,may,0.06
Unit conversion,0,may,0.02
Appliance cooking,0,may,0.09
Enterprise IT administration,0,may,0.04
UI localization,0,may,0
Naming,0,may,0.21
Translation studies,0,may,0.02
Config files,1,apr,0.06
Makeup,0,apr,0.05
Security configuration,0,apr,0.02
Odor elimination,0,apr,0.01
Regulatory rules,1,apr,0.44
Financial data validation,0,apr,0.01
Image prompt writing,0,apr,0.21
Technical documentation,0,apr,0.13
News writing,0,apr,0.15
Road tripping,0,apr,0.01
UI copy editing,0,apr,0.03
Product compatibility,1,apr,0.08
Utility costs,0,apr,0.01
Lexicology,0,apr,0.11
Fragrance,0,apr,0.04
Cryptography,0,apr,0
Translation,0,apr,0.08
Geopolitics and strategy,1,apr,0.2
Product development,0,apr,0.06
Wellness lifestyle,0,apr,0.08
Content expansion and enrichment,0,apr,0.06
Physical crafting,1,apr,0.31
Viewing experience,0,apr,0.06
Network infrastructure,0,apr,0.11
Algorithms,1,apr,0.01
Access control,0,apr,0.02
Film industry,1,apr,0.04
Billing disputes,0,apr,0.09
Harm screening,1,apr,0.02
Paints coatings,0,apr,0.05
Fuel pricing,0,apr,0.01
Species identification,0,apr,0.07
Cooking,1,apr,1.2
AI tool guidance,0,apr,0.01
Clinical roleplay,1,apr,0.01
Role discovery,0,apr,0.06
Open-source ecosystems,0,apr,0.01
Quality scoring,1,apr,0.32
Real estate tools,0,apr,0.03
Watches,0,apr,0.04
Trend reporting,0,apr,0
E-commerce,0,apr,0.07
Freelancing,0,apr,0.02
